config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0.75_H4_S2_T3,2024,BRK_L16_V0.75_H4_S2_T3,16,0.75,4,2.0,3.0,15471,-16.09977401345288,0.7620555143730595,0.39919850042014093,-249079.60376212953,30,0.0,15471,-24.099774013452883,0.6679369052888039,0.37237411932001807,-372847.60376212955,30,0.0
BRK_L16_V0.75_H4_S2_T3,2025H1,BRK_L16_V0.75_H4_S2_T3,16,0.75,4,2.0,3.0,7775,-18.409700695703695,0.7115284563004943,0.4087459807073955,-143135.42290909623,30,0.0,7775,-26.409700695703695,0.6154207868839497,0.37813504823151123,-205335.42290909623,30,0.0
BRK_L16_V0.75_H4_S2_T3,2025H2,BRK_L16_V0.75_H4_S2_T3,16,0.75,4,2.0,3.0,8077,-15.242088920586506,0.7349250591101195,0.41599603813297015,-123110.3522115772,30,0.0,8077,-23.242088920586507,0.626887092515591,0.38702488547728114,-187726.3522115772,30,0.0
BRK_L16_V0.75_H4_S2_T3,2026H1,BRK_L16_V0.75_H4_S2_T3,16,0.75,4,2.0,3.0,7983,-18.24634715520992,0.6559512916327044,0.3811850181635976,-145660.5893400408,30,0.0,7983,-26.24634715520992,0.5483634061126405,0.34911687335588126,-209524.5893400408,30,0.0
BRK_L16_V0.75_H4_S2_T3,JULY2026,BRK_L16_V0.75_H4_S2_T3,16,0.75,4,2.0,3.0,942,-24.662902913537913,0.42803172366609676,0.31528662420382164,-23232.454544552715,29,0.0,942,-32.66290291353791,0.3311843578946675,0.2653927813163482,-30768.454544552715,29,0.0
BRK_L16_V0.75_H8_S1.5_T0,2024,BRK_L16_V0.75_H8_S1.5_T0,16,0.75,8,1.5,,11738,-18.18819298383,0.7739903936789982,0.355341625489862,-213493.00924419655,30,0.06666666666666667,11738,-26.188192983830003,0.6944271479188114,0.33941046174816836,-307397.0092441966,30,0.0
BRK_L16_V0.75_H8_S1.5_T0,2025H1,BRK_L16_V0.75_H8_S1.5_T0,16,0.75,8,1.5,,5800,-15.698769681728852,0.7951524960587305,0.3706896551724138,-91052.86415402734,30,0.13333333333333333,5800,-23.69876968172885,0.7100498371664979,0.35310344827586204,-137452.86415402734,30,0.03333333333333333
BRK_L16_V0.75_H8_S1.5_T0,2025H2,BRK_L16_V0.75_H8_S1.5_T0,16,0.75,8,1.5,,6063,-9.418482434151004,0.8534953006983519,0.37374237176315356,-57104.25899825754,30,0.16666666666666666,6063,-17.418482434151002,0.7488938313006118,0.3531255154214085,-105608.25899825753,30,0.0
BRK_L16_V0.75_H8_S1.5_T0,2026H1,BRK_L16_V0.75_H8_S1.5_T0,16,0.75,8,1.5,,6012,-23.45267735386519,0.6395945598787602,0.3514637391882901,-140997.49625143752,30,0.0,6012,-31.45267735386519,0.5528941757908633,0.3306719893546241,-189093.49625143752,30,0.0
BRK_L16_V0.75_H8_S1.5_T0,JULY2026,BRK_L16_V0.75_H8_S1.5_T0,16,0.75,8,1.5,,743,-31.31429835470695,0.4181778923139031,0.26244952893674295,-23266.523677547262,29,0.06896551724137931,743,-39.31429835470695,0.34274567317904614,0.23822341857335128,-29210.523677547262,29,0.034482758620689655
BRK_L16_V0.75_H8_S1.5_T3,2024,BRK_L16_V0.75_H8_S1.5_T3,16,0.75,8,1.5,3.0,11903,-16.73361953999279,0.7929387034962901,0.3594051919684113,-199180.27338453417,30,0.03333333333333333,11903,-24.73361953999279,0.7124185635043336,0.3440309165756532,-294404.2733845342,30,0.03333333333333333
